qID,precision@5
100263,0.2
102169,0.4
10436,0.0
105799,0.0
106384,0.2
10668,0.6
107221,0.4
110502,0.2
123711,0.6
126303,0.0
131041,0.0
131187,0.2
1372,0.2
148321,0.2
148656,0.2
151854,0.4
152769,0.8
157976,0.4
159523,0.0
16377,0.6
17077,0.6
1786,0.4
180614,0.4
181189,0.6
18537,0.2
203,0.2
21155,0.6
2157,0.2
26620,0.6
4537,0.8
45451,0.6
48051,0.6
49412,0.0
5,0.0
52640,0.6
58190,0.4
6051,0.0
60979,0.4
638,0.6
67088,0.4
68320,0.2
69267,0.6
75985,0.4
7916,0.2
83047,0.6
87954,0.2
9326,0.6
94885,0.4
965,0.8
9972,0.0
