qID,precision@5
100263,0.4
102169,0.0
10436,0.2
105799,0.4
106384,0.2
10668,0.2
107221,0.0
110502,0.2
123711,0.4
126303,0.4
131041,0.2
131187,0.4
1372,0.0
148321,0.2
148656,0.4
151854,0.4
152769,0.6
157976,0.0
159523,0.0
16377,0.8
17077,0.0
1786,0.2
180614,0.6
181189,0.4
18537,0.2
203,0.2
21155,0.2
2157,0.2
26620,0.2
4537,0.2
45451,0.6
48051,0.6
49412,0.0
5,0.4
52640,0.4
58190,0.4
6051,0.0
60979,0.2
638,0.2
67088,0.0
68320,0.0
69267,0.2
75985,0.4
7916,0.2
83047,0.4
87954,0.4
9326,0.6
94885,0.4
965,0.4
9972,0.0
